The Florida Project,Phantom Thread,Get Out,God's Own Country,Dunkirk,Lady Bird,Baby Driver,The Breadwinner,Detroit,Good Time,,,
Get Out,Long Time Running,Certain Women,Dunkirk,The Lost City of Z,The Shape of Water,mother!,Werewolf,A Ghost Story,"Three Billboards Outside Ebbing, Missouri",,,
The Post,Call Me by Your Name,Lady Bird,Their Finest,Brad's Status,"I, Tonya",Mudbound,Film Stars Don't Die in Liverpool,Novitiate,Stronger,,,
Raw,Moonlight,The Levelling,The Red Turtle,The Florida Project,My Life as a Zucchini,Toni Erdmann,Blade Runner 2049,Get Out,In Between,,,
The Florida Project,Lady Bird,Dunkirk,A Ghost Story,Good Time,Columbus,Dawson City: Frozen Time,Get Out,mother!,Okja,,,
Twin Peaks: The Return,My Friend Dahmer,Wonderstruck,The Florida Project,Baby Driver,Frantz,Call Me by Your Name,Get Out,A Ghost Story,Lady Bird,,,
Twin Peaks: The Return,Personal Shopper,A Ghost Story,Nocturama,BPM (Beats Per Minute),Graduation,The Shape of Water,Wonderstruck,Marjorie Prime,Blade Runner 2049,,,
I Am Not Your Negro,Get Out,Faces Places,Neruda,The Florida Project,Lady Bird,"Right Now, Wrong Then",The Other Side of Hope,After the Storm,A Quiet Passion,,,
Five Came Back,Battle of the Sexes,The Other Side of Hope,Call Me by Your Name,Land of Mine,Lady Bird,Frantz,The Crown,Get Out,The Post,,,
The Florida Project,Detroit,A Quiet Passion,A Ghost Story,Marjorie Prime,Personal Shopper,Nocturama,Wonderstruck,Gerald's Game,Dunkirk,,,
War for the Planet of the Apes,Brawl in Cell Block 99,EX LIBRIS – The New York Public Library,Soul on a String,Okja,Phantom Thread,The Florida Project,Lady Bird,Star Wars: The Last Jedi,The Girl With All the Gifts,,,
Get Out,Dunkirk,Lady Bird,Blade Runner 2049,A Ghost Story,The Florida Project,Phantom Thread,Call Me by Your Name,Raw,The Shape of Water,,,
Wonder Woman,"Three Billboards Outside Ebbing, Missouri",Dunkirk,Call Me by Your Name,The Big Sick,The Shape of Water,The Florida Project,Coco,Get Out,"I, Tonya",,,
Lady Bird,The Big Sick,Their Finest,Molly's Game,The Post,"Three Billboards Outside Ebbing, Missouri",Faces Places,Dunkirk,The Florida Project,The Disaster Artist,,,
Twin Peaks: The Return,A Ghost Story,The Killing of a Sacred Deer,Lady Bird,Lucky,World of Tomorrow Episode Two: The Burden of Other People’s Thoughts,mother!,Call Me by Your Name,Good Time,The Disaster Artist,,,
A Cure for Wellness,Dunkirk,War for the Planet of the Apes,A Ghost Story,Logan,Detroit,Blade Runner 2049,The Killing of a Sacred Deer,It Comes at Night,Get Out,,,
Phantom Thread,Lady Bird,Call Me by Your Name,Get Out,The Florida Project,The Shape of Water,God's Own Country,Thelma,"I, Tonya",The Lovers,,,
Good Time,mother!,The Square,Personal Shopper,A Ghost Story,Get Out,The Meyerowitz Stories (New and Selected),Raw,The Shape of Water,Your Name,,,
Get Out,Call Me by Your Name,The Florida Project,Columbus,The Big Sick,Nocturama,Phantom Thread,The Disaster Artist,Wakefield,Good Time,,,
Get Out,Dunkirk,Lady Bird,Logan,The Big Sick,The Shape of Water,War for the Planet of the Apes,The Disaster Artist,Star Wars: The Last Jedi,Wonder Woman,,,
"Three Billboards Outside Ebbing, Missouri",Logan,War for the Planet of the Apes,Dunkirk,The Shape of Water,Blade Runner 2049,Mudbound,Hostiles,Wonder Woman,Molly's Game,,,
